Ay,Dolar,Euro,Altın,Petrol,Beton,Demir,Fiyat,Son Güncelleme Tarihi,Konut Tipi,Mahalle, Net M2,Oda , Salon Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Eşya Durumu,Banyo Sayısı,Cephe,Kira Getirisi,Kullanım Durumu,Aidat,Yakıt Tipi
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.450.000 TL,2024-01-18,Daire,Efeler,225.0,6.0,1.0,En Üst Kat,4 Yaşında,Kombi,Eşyalı Değil,4,"Kuzey, Doğu, Batı",15.000 TL,Boş,250 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.400.000 TL,2024-02-25,Daire,Cumhuriyet,110.0,2.0,1.0,Giriş Katı,16 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Doğu, Batı",18.000 TL,Kiracılı,200 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,8.750.000 TL,2024-01-05,Villa,Girne,205.0,4.0,1.0,Giriş Katı,18 Yaşında,Kombi,Eşyalı Değil,2,"Kuzey, Güney, Batı",10.000 TL,Mülk Sahibi,70 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.500.000 TL,2024-01-23,Daire,Mimar Sinan,200.0,4.0,1.0,1. Kat,15 Yaşında,Kombi,Eşyalı Değil,2,,20.000 TL,,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.200.000 TL,2024-01-08,Daire,Zeybek,130.0,3.0,1.0,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,2,"Kuzey, Batı",15.000 TL,Kiracılı,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.400.000 TL,2024-01-16,Daire,Orta,60.0,2.0,0.0,4. Kat,3 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Güney, Doğu, Batı",10.000 TL,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.450.000 TL,2024-02-13,Daire,Orta,50.0,1.0,1.0,3. Kat,4 Yaşında,Merkezi,Eşyalı,1,,,Kiracılı,,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.900.000 TL,2024-02-08,Daire,Adnan Menderes,125.0,3.0,1.0,1. Kat,30 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Güney",5.000 TL,Kiracılı,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.700.000 TL,2024-02-19,Daire,Cumhuriyet,130.0,3.0,1.0,1. Kat,25 Yaşında,Kombi,Eşyalı Değil,2,"Doğu, Batı",,Kiracılı,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.450.000 TL,2024-02-01,Daire,Zeybek,220.0,3.0,1.0,En Üst Kat,Sıfır Bina,Kombi,Eşyalı Değil,2,"Doğu, Batı",,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.550.000 TL,2024-01-29,Daire,Fatih,135.0,3.0,1.0,3. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,2,,,Boş,,Doğalgaz
